Cleaned_Comment,Predicted_Sentiment
think would history book couple decade,0.0
lukashenko didnt killed people didnt ordered attack,2.0
ukrainian must promise stay neutral russia promise accommodate war cost guarantee freedom support ukrainian government nato must keep promise bring weapon towards russia ukraine cause conflict leave ukrainian peace freedom,0.0
final someone post full story nato real reason war,0.0
putin must dumbest person alive hope china invades russia know feel,2.0
putin war ukraine explained putin psychopath corrected headline youre welcome,2.0
love people online dont know anything normal russian assume since putin want destry ukraine assume normal russian aswell,2.0
listen whats really going never hear truth support even lead government ukraine much video lie everything happens ukraine happens instruction west first ukraine existed tsarist russia republic created already ussr lenin simply gave russian land republic without asking anyone since ussr one big country important secondly reason conflict also wrong collapse ussr u promised would longer expand nato approach border russia keep promise nato moved closer closer russia border putin warned many time u wanted move even closer staged coup dtat ukraine eight year ukrainian troop bombarded population donbas one world saw nato pumping ukraine weapon training military time intelligence revealed would massive attack donbas nato support would global catastrophe putin got ahead took initiative russian troop bombing population ukraine clear order touch civilian ukrainian authority hold citizen hostage use human shield putin done nato would invaded donbas would many thousand casualty would installed base nuclear missile ukrainian territory russia gun muzzle head condition u could dictate condition russia threatening,2.0
need explanation u war iraq afghanistan,1.0
putin right stand,2.0
well think abled country place russia would done thing,0.0
russian im ashamed putin ive never voted neither parent live country controlled imperialistic ambition want russia part europe ussr war upd yes every time write smthn unfair war bunch russian troll true patriot would come comment dont care,1.0
onesided narrative fair,2.0
cant nato back give russia room risk war,0.0
putin pay price,1.0
ukraine stolenits royalty whisked away theyre adult,1.0
double standard old story,1.0
u attacked destryed iraq lie barbaric,1.0
ill make easy naked russian aggression based putin greed fear paranoia,2.0
mention country invasion russia,1.0
whole video horrible wrong mean really really really horrible wrong get education,2.0
people forget motto nato keep germany get russia germany part nato everybody want get russia western european country never liked russia hundred year theyve always exotic country east seemed quite different way russia could ever part west even collapse soviet union,2.0
bro waiting vox drop soo muchh,0.0
please get link similar report ukrainian attack donbas region since wrong kind people sorry,2.0
analysis shallow abstract,2.0
u feel palestine passed,1.0
please russian people remove putin power end war win freedom,0.0
ah yes vox news trying explain thing always go well yikes,0.0
russia wanted join nato usa uk rejected russia declare ther enemy along china nato true threat,0.0
putin would end world seeing russia lose he lost plot,2.0
nato usa cause war,2.0
hw bush promised gorbachev malta summit december u would expand nato east even inch critical point wasnt mentioned video show nato also responsible escalation also minsk agreement werent mentioned video,2.0
putin forced invade ukraine russia survival,1.0
saying invasion doesnt qualify special military operation civilian operation sorry think russian version axxurate,2.0
wonder city specific city,2.0
respect putin best dictator world,1.0
russia like bullly highschool thats wanted friend u force,2.0
country intervenes em ww would actually commence country like china pak waiting opportunity,0.0
west nerve talk invade many country especially u,2.0
west county britain germany reason war earth let county earth face invasion curality till world war time resource poor people almost country suffered first sactions issued,1.0
putin criminal organization sent gulag dissappeared,2.0
great video explains everybody watch interested conflict,2.0
give part russia,0.0
please tell nato disbanded keep expanding warsaw pact become history military organization,2.0
show side story,0.0
one talking started georgia putin showed real face,2.0
war nato expansion putin trying save country,2.0
put price tag putin head wont last long,1.0
died many stop war open war,2.0
finally new oversimplified video idea,1.0
video completely ignores tactical role west especially usa russia invasion ukraine team would maybe little idea seeing prof john j mearsheimer lecture,2.0
dont believe nato look libya iraq syria nato want russia natural oil gas reserve,0.0
nato confiscate oligarch wealth convert hard cash hire exwar veteran country need cash pay handsomely send high tech weapon wartorn ukraine would dare say nato could easily amassed half million hardened battle ready troop action ukraine send russian packing home,2.0
seems like nato security risk aggressor situation,2.0
country rated corrupt europe yes ukraine provider many monthly paycheck biden crime family,1.0
country habe suffering due west usa,1.0
jewish medium tell truth,1.0
putin main demand nato stop expanding instead put force stand reinforced military presence isnt provoking putin,1.0
year bombarded covid covid covid covid covid covid mandate covid mask mandate covid lockdown new thing russia ukraine russia ukraine russia ukraine russia ukraine russia ukraine russia ukraine happen russia ukraine end still covid mandate,1.0
nato action talk russian tank firing biggest nuclear power plant europe stop second chernobyl close sky ukraine,1.0
let demand leader serious support ukraine enough send prayer moral support diplomatic economic humanitarian support necessary bring end putin nostalgic imperialist war,2.0
like one sided story cia version russia ukraine crisis,2.0
stand ukraine,0.0
pure propogandist video none balanced view shame calling press prestitute,1.0
russian occupant leave latvia lot parasite slava ukraina,1.0
europe largest war since world war ii europe largest war bosnian war bosnian people died unfortunately,2.0
always america behind every mess,1.0
nato moved eastward without provocation russia,1.0
year bombing people lugansk donetsk nazists dead peaceful sitizens russian,2.0
stopping ww coming,2.0
hey another war happen middle east world blind deaf wrong u,2.0
war happening online know paid actor,1.0
west fault,1.0
west send weapon former ussr country good time putin stop ukraine,1.0
even vox submits general trend,1.0
would wonderful see somebody pistol put temple broadcast telling camera man cut feed,2.0
thank explaining really helped,1.0
russian government murderer terrorist,1.0
man made big video much talk indian student stranded china geopolitics economic situation russia ukraine sanction damaging russia asked johny haris make video,0.0
putin war ukraine explained well thinhe seem much simpler leave information,1.0
instead support ukraine biden west stop expansion nato,0.0
ukrainian nazism troop nazists bomb peasful people ukraine,1.0
could used money turn russia paradise instead turned prison waste money war could colonized mar moon disappointing russia boring,0.0
dont guy present factual description,2.0
different palestine suffering hand israel sad different,2.0
well warm guy think start scary part u start first weapon counter china,1.0
concerned street dog cat save,1.0
first ukraine baltic state form alliance russia iran nuke united state dont matter let go brandon,1.0
seriously vox disappointed quality video accompanying comment saying europe largest war since world war ii obviously playing word influence viewer opinion dont bring global scale would still largest war since world war metric using say term number civil death seriously shame obvious merely parroting medium coverage saying,1.0
putin best president ever,2.0
ok didnt nato hold lane back instead strengthen position east eu country course provoke madman act saw already signal feel nato throw ukraine sacrificial lamb make thing worse eu banned russian bank swift let deal eu keep flowing eu need russian resource happens next,1.0
want nuclear weapon foreign army front door,2.0
notice putin hand desk one leader would place hand desk like speech he done past recently sign parkinson side effect parkinson would include angry outburst agitation depression cognitive problem hmmm throw reportedly become recluse probably afraid shake would make appear weak seen trusted adviser share fate dont think going get better ukrainian peopleor russian people matter world hand distraught unstable leader world largest nuclear cache,1.0
west pushed two brother sister nation war,1.0
many people saying nato keep expanding realizing ukrainian people eastern eu country want join nato nato isnt expanding nation running away imperialist russia joining nato russia doesnt want want control neighbor hence aggression russia business sovereign country russia imperialist aggressor case ukrainian want join nato,1.0
nato western country handle war failure big problem anytime earth vanished including human pray happened,2.0
president ukraine bring war people,1.0
million viewer didnt know truth behind ukraine war surprise coolest land thats ice cream,0.0
putin narcissistic madman,1.0
european western russia flew nuclear bomb happened world nato western country stop nuclear bomb nato western country defense missle counter attack nuclear bombwhat happened defense nuclear weapon happened earth human time ti blame russia ukraine war,2.0
sake power innocent people suffer obviously russia one side western side responsible war,1.0
video pro pa gan da,2.0
pelestian attack day ago,1.0
call nuke bluff fire one nuke moscow finished know one truly power never talk scared rat ally full cat,1.0
war waged rest world carried competitor also instigator game usa also decision maker nato atomic bomb japan iraq afghanistan destroyed nuclear weapon israel allow oppression palestinian war vietnam show u lie better power people,0.0
think ukraine nato talk,2.0
democracy foot,2.0
hahah bet author video speak american english war ukraine war drug war terrorism thats right,2.0
putin rock,1.0
nato russian,1.0
lot thing miss crimea people want join russia ukraine kill people donetsk lugansk,1.0
imagine ukraine signed treaty ready unfortunate side effect government chosen people following interest people,0.0
sure trust vox tell real story,2.0
ukraine also part lithuanian grand dutchy part russia russian putin need time learn history,1.0
nato country need wake ditch u corrupted criminal ill agenda manipulation medium biggest bet one reason war break tie russia europe country oil energy remember nato want expand want depending european u billionaire playing economy game use u toy country sanctioned one well people lower end society feel zelensky comedian clown playing role lifetime europe felt yet wait till russia responds sanction enjoy europe,1.0
major thing see usa still playing monopoly ukraine suffering cuz usa hand russia ukraine getting caught middle like kashmiri people india pakistan ukraine people suffering cuz two country go kashmir people,0.0
word budapest memorandum,1.0
nato expanding east russia putin dictatorship group threat,1.0
well well surely explained lot,1.0
guy noticed shooting bomb north east south west make everyone go west russia powerful bomb world translating king bomb need fire west done please show comment others sake people life moto let live,1.0
lil know russia trynna take world get nato push back theyre going see push keep pushing,1.0
world made sanction special financial operation russia protect,1.0
simple stop expanding nato,2.0
believe would best ukraine neutral even better demilitarized aid peace held within border wont threat anyone even adding weapon end peace well checking someone economy would cause aggression good reason take whole world stand right thing politician real start ww good day anyone,1.0
witch country history wo used nuclear bomb war killed inocent people,1.0
killed people invasion since terrorizing ukraine,1.0
million ukrainian welcomed neighboring european country time ukrainian army discriminating people color fleeing ukraine,1.0
vote continued eu membership state mass medium betrayal new labour liberal democracy party could fate eu taking isle wight portsmouth,1.0
west start war dont hide putin right,2.0
respect ukraine people beyond high human history hate towards putin highest beyond high human history,1.0
whats confusing u took iraq etc nobody really said anything come russia happening make sense,1.0
u want control world,2.0
explains bomb history behind smart guy,1.0
america war afghanistan syria iraq created human right crisis hegemonism united state lead nato create conflict threaten security russia people blame russia today incited hypocritical,0.0
vox showing russia attacking,1.0
west ditched ukraine fearing war russia tip iceberg continuo war provocation finally realise shouldve stepped today like shouldve stopped hitler chance early day lack exactly gave hitler upper hand ww,2.0
giving half information journalism,2.0
war shattered many young man dream made disabled bitter mean edwin starr,2.0
mrputin please stop war ukraine day everybody trying start coming peace world thats job really wrongly,1.0
hello year palestine got invasion israel still nothing,0.0
russia supposedly nuke news didnt year ago wonder many actually operational going capability vehicle ground assault wouldnt surprised nuclear arsenal rusted bit,1.0
situation make hunter biden much worse trump putin discus secretly day met think may much worse imagined im sure either political party u trying prevent,2.0
vladimir good boy us nerve gas polonium,2.0
wouldnt funny belarus like nahh want join nato qnd start killing russian troop,1.0
mother russia,2.0
u uk russia said would protect ukraine exchange denuclearisation fk military protection gone western superpower,2.0
get part putin shoot bunker,2.0
russia finished world closing,2.0
nato u main cause warnot russia,1.0
one min straight provoking racial tik tok commercial f youtube,1.0
never forget putin reason american hero edward snowden still alive still dont care ukraine cope,2.0
country aligned nato invading weak small country madeup pretext mostly white racist country consider people color even human inside outside west effin civilized country whatever mean also control world economic system keep former colony poor divided thats way controlling world together racist white country consist world total population selfishly control world resource wealth however rest world waking standing condone war russia putin started end u role world sole superpower america wont ever free unjustly rampage another poor small nation time real civilized nation taking eff give way,1.0
im supporting russia go ahead destroy ukraine,0.0
russia would station militairy force closer closer u border every year expand influence u surrounding country would u west react russia listening worry proposal idea,0.0
thats ww going start invading ukraine putin broke rule china want invade taiwan china think he invading putin invade israel iraq also start war,0.0
putin well done ukraine bad country nato,0.0
israel palestine one care,0.0
world war coming,1.0
arab muslim boy holding weapon colonization force would called child abuse terrorism ukraine resistance,1.0
heil putin,1.0
anyone didnt know current leader ukraine volodymyr zelenskyy actor comedian people thought running leader joke however election current tension ukraine one wanted people country still appears front line war,1.0
ukraine president need stop play brave act like he tough submit one,1.0
first mistake first war wwthere bosnia serbia bombing nato,2.0
war horrible thing putin right keep nato away border,2.0
never say russia choose war,0.0
heard opposite side saying u raised numerous war gainsoil resource country power none punishing russia creating safe border got penalized many many truth hidden many video discus one side truth got confused thing know civilian suffering much war,1.0
video summery many thing watched story reallifelore instead,1.0
instead nato backing decided send weapon get people dead nice,0.0
russia dangerous nato,1.0
heart break innocent civilian animal party,2.0
putin liar,0.0
feel sad young people ukraine praying survive war,2.0
yes welcome bosnia,0.0
gosh dont feel bad two ukrainian company scammed,1.0
welcome afghanistan,1.0
war live peacefully,0.0
imagine one country united kingdom state deciding host russia mother,1.0
,2.0
simplistic approach intentional emission fact troubling video,0.0
russian ashamed,2.0
seeing side putin,1.0
putin mafia,1.0
correction poland wasnt part soviet union already country,1.0
havent heard single word azov batallion weird,2.0
id expect elaborate explanation,1.0
sad russia move ukraine make point west taken russia serious long time ago unnecessary bloodshed,0.0
channel video white,0.0
thanks easy understand explanation confused everything going however im still scared nuclear war,1.0
u interfered politics central south america decade france uk caused mess palestine sound like total hypocrisy west per usual,1.0
nato made war happen,2.0
selected fact,0.0
go google phone go moscow leave reveiws resturants picture showing russian people murderer putin,1.0
odessa clash,1.0
putin second hitler monster must stopped horrific even call man,2.0
sad fact u start war,2.0
make sense thank,1.0
wish someone shut putin mouth,1.0
million view bulshit explanation wrong,0.0
already old people indeed still craving bloodshed freakin boomer,0.0
great educational information saw video thought exactly putin waging war ukraine know know,1.0
thanks explaining,1.0
know syrian afghan irapis yemeni libyan people felt conutries got invaded,0.0
spread outshoots,1.0
everybody keep forgetting balkan war biggest war ww dont forget child yr old hiding basement month also war afghanistan syria iran irak,1.0
nato expansonism cost ukrain peace,0.0
video purposefully concealed issue natural gas keep,2.0
blame russia ukraine given opportunity decide wisely,2.0
putin strong desire control power upon ukrainian people long yr yr forever,1.0
question putin want ukraine baad force exgf get back relationship doesnt want perhaps feel like west planning something evil russia,2.0
god ukranian people,1.0
video useless convenient gap story making everyone else good guy u gonna talk say everything calling war also incorrect honestly take video focus thing productive rather spreading misinformation,0.0
one sided news end expecting hear full story ukraine russia feel like fed nato wanted eat nothing budapest etc russia half truth lie west pushed realised ukraine set stage ww russia nato dont medium sheep blindly believe news tell find truth truth really want dont let turn ukraine another syria iraq etc keep mind opinion,1.0
way short video watch video reallifelore minute long also much better,1.0
thank god internet without internet putin would already taken entire ukraine killed people,0.0
annexation crimea made ukrainian membership nato impossible cant make country nato member part occupied russian therefore invasion anything nato russian empire russkiy mir please dont make video topic know nothing,1.0
nato force go back eh,2.0
watching developed deep understanding barbaric situation built selfish power hungry heartless psychotic inhumane human putin long long time mind set making ukraine part russia one russia know saying worst enemy friend typical example may god grant good hearted people heart desire destroy enemy confuse peace love,0.0
cant call invasion war go prison russia cant politician military see man mentally ill seriously world putin still cannot see he wrong cant happening,2.0
really dont like putin,1.0
vox focus putin view west many focused view eastern side west want war create threat making ukraine nato,0.0
cant really say putin wrong invasion nato expanded unethically decade definitely risk east,1.0
moldova country,2.0
forgot mention fact though color revolution instigated usa crimea invaded overwhelming number resident voted join russia russian backed separatist invade lugansk donetsk indigenous people support regime overthrown elected president way vast majority people living right selfdetermination,1.0
video deceptive explanation,0.0
putin cease fire ukraine withdraw army situation nonsense russian fight evil government putin delusion take russian hard time long time kwow russian dont want country second north korea,0.0
slapping sanction mohammed bin salmen saudi,1.0
nato taking russia want protect child country,0.0
video incomplete covered covered well,2.0
funny information strongly one sided attack ukraine explained lack influence either author paid stupdi,2.0
israel attacking palestine,1.0
wasnt full story,0.0
think war west signal power dominance,0.0
nato shouldnt accept new member since end cold war,0.0
proukrainian video,2.0
ukrainian president ran away lol,1.0
everyone blaming russia one talk nato expansion nato want piece,1.0
mention russia taking american biolabs ukraine biolabs russia told nato build unless wanted war,0.0
largest war ww largest war since cold war,1.0
sympathy western bustard destroyed bombarded iraq lybia afghanistan,0.0
rethink trying push russia completely good idea,0.0
dont know vox left important detail like usa gonna feel russia made alliance canada mexico send army sure usa gonna sit back one explained nato continuously expanding even though agreed expansion nato done could easily avoided usanato agrees add ukraine nato future usa war stop reason stopping usa,0.0
hi vox ever heard covering documentary israel illegal occupation palestine,0.0
many lie misinformation sad western people thinking u,1.0
twain next,1.0
long overdue thing putin funeral putin accomplished liar due kgb traiing former kgb agent rounded sent calming water guantanamo bay,1.0
dosnt explain invasion happened,2.0
nato toothless,1.0
always try avoid russiaukraine crisis week knowing vox really explained short informative way thank vox,1.0
nato problem thanks information,2.0
larger empire harder fall,1.0
ignored many detail till beginning warthe agreement etc,1.0
sense world war yall better pray im frantic,1.0
ukraine sending peace love uk afraid nuclear war intervene,1.0
crystal clear nato fault,1.0
vladimir putin foolish human matter,0.0
putin want redraw europe nato past year force yugoslavia carpet bombed iraq destroyed based lie libya bombed stone age syria,2.0
narrative terribly one sided manipulative,2.0
basically russia proved ukraine wanted join nato,1.0
agree nato stop expanding eeuu poked bear eye ran hide behind ukraine,0.0
tiktok joe putin made,1.0
include west germany part western influence,2.0
invasion wrong star show comedian zelinsky supported israel invasion palestine begging help mercy injustice doer,1.0
president zelensky right ukraine ultimate goal ukraine beginning,2.0
didnt speack th talk russia invade chechenya hypocrisie th west,2.0
lol nato actually started,2.0
nato expanding attack russia expanding country concerned russian may invade country hey right,2.0
despite harsh economic sanction europe spends usbillion dollar per day russian gas oil sum apparently affected sanction,0.0
dont mind want ask anybodys heart racing excitement,1.0
putin face kremlin silly little man uncomfortable skin take international hatred decision kremlin solution mexican standoff counter russian end day position usa wanted place abm battery poland counter terrorist threat thats st hit fan putin take bad press kremlin directs entire freeworld put russia putin notice freeworld nuke sector enriched coordinate every day move salvo salvo comenot free world place abm system encircling lunaticsthe threat countered single missile launched rather iron curtain entire curtain abm system make kremlin think twiceoh yeahshoot real tragedy russian people forward thinkingwhy russia boasting hypersonic weaponsabms workright gate target gain velocity altitude,1.0
many fact omitted,1.0
stay neutral war stop thats easy comedian preferred drama,1.0
see hitler remake progress think stop silly told nov biden would get u war,1.0
thats true didnt say lot strong argument russian side say beneficial vox real fact staying silent,2.0
fact president putin primarlry going lab trafficing etc say,2.0
word minsk agreement decade diplomacy boiled putin waking bad mood,2.0
korea love russia much still support russia,0.0
putin evil,2.0
still alot explained much america europe demand respect russia demand respect well nato big comprimise russia like enemy putin trying undermined nato used walking people see russia different stand russia,0.0
list grows many politician profit money influence yet another crisis global population well protected mayhem,1.0
russia ukraine brother long time bad see killing,2.0
putin stink communism,0.0
first casualty war truth,2.0
westgermany coloured,0.0
fvp pas,1.0
please surrender ukrain like live life peace dont arrogant force small compared russian please dont let country get involved world destroyed nuclear device ukrain president hero surrender saved death others peace come surrender human life important homeland,0.0
stand ukraine free,1.0
reached point human history united kingdom condemning invasion taliban talking peace meditation,1.0
well explained thanks,1.0
event cup orquestated west,0.0
first homework history putting video like,0.0
moldova next target,2.0
nato established warsaw pact bofore establishing warsaw pact soviet union requested join nato got refused cant say russian aggressor,1.0
peacefull protest thats funny,1.0
biden business talking border security,2.0
care bunch lie shame putin liar murdered former kgb runt shame nato mobilizing troop ukraine,2.0
shut america uk nato afraid,1.0
one thing done declaration martial law russia overthrowing putin long rule russia,0.0
vox american news opinion website,0.0
nice make video america invasion afghanistan iraq many country,2.0
good job showing one side leaving crucial fact,2.0
isnt war ukraine war waged againts west west stop interfering business others thats hypocritical always didnt realize vox hold narrow view today,2.0
russian dont want live north korea like country next generation risk freedom live revolt putin corrupt oligarch time window keep getting narrower banned word war imagine banning word use go jail year lose sake next generation organized smart sporadically mean lose set date lock target mass without waiting signal someone else never russian future depends whole humanity destiny basicly depends,1.0
mile tery operation invasion misunderstanding matter,2.0
tell truth nato join battle russian troop exhausted nato come never keep promise,2.0
lednsales ebay cool video game movie collectible rare pop culture item rare stuff,1.0
well youre viewing anything fromvox youre getting wrong information,0.0
witnessed ukraine peace making country lot indian residing studying peace untill russia invaded ukraine missile attacking everywhere,1.0
say wanted join nato long time opinion kinda like there lot democrat lot republican view change time way gray area opinion,2.0
false didnt talk tge real reason behind tge invasion milice bombarded donbas discrimanate rusian people portray invasion forget tge cause behind medium try brainwash u turn thing tge way around believe dont document teuth known real problem russia america nato alliesbut flip thing around keep good job vox,0.0
russia ukraine corrupt,0.0
contempt sanction threat u invaded middle east,1.0
sound like putin started war due paranoia distinct phsychological disease lie people lie world proven manipulator never trusted killer child thousand people think punishment person deserves hope get,2.0
mean nato war russia,1.0
unfortunately dont think rational reason war dont believe find,2.0
idea youre talking didyoutube wouldnt allowed video post,1.0
jeff bezos use airplane get like three day ago elon used satellite help use internet jeff he like second richest guy world u need open border parent two extra bedroom give setting fundraiser go fund least going work school one month sign everyone coming together protest war im yea im adult friend believe going start protest school next week hope war end next monday say possible protest harvard making news anything possible believe whole heart,0.0
un something happens rest world un something happens west,0.0
whats budapest memorandum security assurance thing,1.0
wait ukrainian chance become part nato president back refused wanted independent,0.0
genocide done ukraine rising neonazism tell whole story,0.0
ukraine bear trap ist opinion want nuclear missile front yard political failure side year manipulation politics ukraine usa russia brink third world war would war winner people ukraine paying,0.0
always one side story russia applied nato least time nato accept application,0.0
putin terrorist,2.0
long live russian empire long live white army,2.0
clue really,1.0
pray peace love happiness ukraine russia love fedor emelianenko love putin awesome cool politely invite people ukraine join back russia say say ok ukraine doesnt want part russia russia dont want let go,0.0
putin product environment upbringing emersion ussr doctrine enhanced kgb militaristic mind set question anyone heard story scorpion rat,0.0
feel sorry ukrainian putin isnt one change mind safe russian nato,1.0
america order massacre iran syria asian african country world issue europe safe table turned europe suffer along u,2.0
putin must hunted prosecuted committing crime humanity,2.0
putin russian needledickenergy written,2.0
funny american totally mispronounce putin name like putn american miss letter called putin putn learn,1.0
ukran rezsim make dont new liar,0.0
nobody bombing russia,1.0
vox must careful tell narrative check source,2.0
many important fact glossed convenientlysuch agreement bush gorbachev expand nato forceful removal democractically elected president rise antirussian attack violence discrimination,1.0
people west scared fight russia would rather watch tv side putin win,2.0
clear side narration west many angle right listen russian point view nato saint video mentioning invited ex ussr country nato clearly upset russia isnt people life there reason putin took crymia zelensky stopped water million people crymia people always remember side story right side left side truth,1.0
showing civilian side gaining sympathy yes war hurt civilian end loosing explanation white washing explain war started war started vox dare,2.0
word putin saying want power peace solution putin change mind russian soldier change mind amazing power given wrong person whole world becomes risk one person courage russian people soldier bring putin knee,1.0
oil gas boy oil gas there shale gas east donbas west ukraine belarus moldova oil natural gas deposit coast ukraine discovered would made ukraine nd largest oil gas source europe russia ukraine joined eu nato guess europe get oil gas currently mostly russia,1.0
please war love thy neighbor,1.0
reason ukraine georgia didnt get join nato would ask support join side move russia fact putin done worst thing leader could use violence could agree move supporting ukraine weapon instead helping securing ukraine citizen riddle id like follow lecture john mearsheimer video name ukraine west fault featuring john mearsheimer youtube,0.0
one sided point view,1.0
consequence putin villain,1.0
really happy see people killed,2.0
bruh drop bunch nuke,2.0
mean reasonable putin done,2.0
think right nowcovid lost title brutal killer ukraine,1.0
first time vox got right,2.0
im beginning question russia actually nuclear weapon,1.0
putin want redraw map force map redrawn wwii negotiation,1.0
west fault keeping nato alive overthrowing pro russian president,0.0
president ukraine agreed membership nato disaster wouldve ended like,1.0
controlled u need military pact like nato today world nato keep expanding membership pretext security nato causing insecurity europe u successfully dividing europe dont blame putin feel insecure nato stationing military ukrainian border ukraine join nato would u find acceptable china station military along mexican border civilian suffer war last thing world need u infamous reputation instigating war around world pov u directly blame everything thats happening ukraine rn u acted like ukraine back covered backed russia actually started invasion sanction mean nothing wont stop ukraine physically destroyed civilian killed crossfire u facade never trustworthy,1.0
one sided,0.0
always one sided explanation,2.0
ukrain discriminated men let woman flee forced men fight deserve,1.0
largest since wwii anyone plz nato bombing yugoslavia lesser scale,0.0
actually miss lot fact like minsk agreement google remember nato usa dragged ukraine war say missed important part war minsk agreement totally throw voxwestern narrative window useuuk want u know minsk agreement absolutely contradicts want u believe war nato u fault russia choice go ukraine u nato made huge mess thing ukraine,1.0
putin hand look deformed,2.0
russian violated ukraine sovereignty democracy freedom peace security bill right civil right united nation declaration,1.0
truth neto didnt keep promise moving near russian border neto broke promise automatically became treat russia putin choice defend,2.0
western view overall eastern europe convenient include soundbytes people already western influence western europe said would go maybe video western europe survived christianization spanish inquisition feudal system right king condemning others progress thru time world much larger squabblingwarring tribe continental peninsula think rule worldor try,1.0
nice explain western world see war long time u isnt one fire first shoot western world doesnt like,0.0
guess nato ally super helpful,2.0
russia destroying ukraine enough russia deserves already,2.0
west german chancellor kohl assured mikhail gorbachev would nato expansion east broken promise source current conflict ukraine russia item bucharest declaration nato summit stated nato welcome ukraine georgia euroatlantic aspiration membership nato agreed today country become member nato russia made clear would never happen august year russia took control georgia victor yanukovych ousted due orange revolution coup replaced natofriendly government nato russia border direct threat national security china pulled stunt cuba would warand almost happened soviet union via cuban missile crisis monroe doctrine prohibits foreign power staging arm western hemisphere ok natoeu expansionism encroach russia border,1.0
way wester medium control western world mindblowing west coming crime humanity century eg european invasion colonisation usa invasion middle east africa asian country vietnam korea etc wrong ur forefather paid current generation,1.0
shouldnt support tyrant power chair anything one another every oppressed world ukrainewhat iran iraqlibia afghanistan palestine uighur kashmiri rohingya raciestwe dont think sympathy well civilised white bule eyed christian people human hate every tyrant,1.0
dear ussr soldier go home mother wife secretly making love donald trump son away war music replaced dubstep ballerina used donkey field make plough sincerely world despises,2.0
putin went ukraine he sore loser lost credibility nasty temper tantrum process,0.0
honestly putin understandable something would agree buy understand dont understand nato knowing full well russia may fight back yet continuing threating,1.0
predict ukraine fall ukrainian continue guerilla war expand russia,2.0
russia never said evil subhuman white russia never told hate ancestor cant say west country,1.0
wwlll near joke b old school im fearing push buttom nuke aasy destroy city million life taken,0.0
vox please show brutality west american force middle east let see courage,1.0
historical account omits fact west opportunity integrate russia european security apparatus early soviet union fell apart theyd done could exerted lot influence russia possibly preventing downward spiral kleptocratic autocracy became yeltsin steroid putin west leader blinded corruption nothing prevent wholesale looting soviet state property men became oligarch today money good guess horrendous abdication well continue pay generation come,0.0
well u made decision sanction russia cut credit card going hungry,2.0
dont listen war criminal capture bring justice,1.0
another nation somehow get involved invasion going full ww hope doesnt come may god protect u,1.0
zelensky funny comedian president ukraine talk palestinian possible invade israel get law karma country feeling invasion know pain russian invasion keep moving forward russia never back go go go ura,0.0
whatever outcome putin pay price killing innocent people,1.0
recently blinken announced nato would assimilate nation wanted since nato military organization mopped former sov state putin decided losing ukraine would expose russia economic military pressure began conquer ukraine dared usanato risk ww turn usanato full moral talk afraid shoot economic stricture show economic center world shifting asia centered prc russia already begun join emerging reality survive may even flourish zelensky said rude thing nato recently apparently discovered moral character evil empire associate poor lad point man sugar lance,2.0
nato always treated russia top enemy even pro west government ussr collapse country join nato choking russia death anti war time blame russia nato,1.0
personally feel like putin war path really need get decides accidentally blow nuclear reactor wipe whole europe he already soldier shelling nuclear plant zelinsky said blow x woarse chernobyl,2.0
polarized explanation issue mean one sided explanation,1.0
video like context perspective immeasurably appreciated polotical vagueness narrative justice objective fact respect people want learn make narrative fact thanks thank,1.0
make video plastine body care muslim country,1.0
reserve natural gas mainly crimea threatening russian europe market,1.0
im say support putin russia,2.0
understand love putin question nato like red cross org putin keep resisting nato expansion russia border,0.0
putin say whatever wish invades independent country without provocation consider casualty side murderous act putin excuse invation nato defensive alliance provocation ussr rigid control russia provocation ussr colapses putin crazily trying return back threatening nuclear weapon nato use nuke retaliation hoppefuly revolution russia put end dictator,1.0
putin right,2.0
nato eu u pushed conflict people donbas region crimean peninsula voted separate corrupt government ukraine donbas region attacked ukrainian army year world sat said nothing russia asked legally enforceable security guarantee nato west ignored lie spread news group msm masterful complexity,2.0
bad general need correction,1.0
page dinitrogen oxide n systematic name nitrous oxide,2.0
know devil,2.0
actually volodymyr zelenskyy ran away family th feb leaving people behind encouraging video prerecorded,2.0
sad especially innocence people suffer,2.0
feel bad ukraine people child pray ukraine people every night find safe place safe happening people,2.0
sort medium one sided cover topic video didnt mention crimea voted referendum join russia ignored ukraine also didnt mention minsk agreement solves issue agreed ukraine russia seen un france germany nice one vox youre making credibility worse,1.0
love miss part putin agreed allow ukraine join nato agreement nato military stay away country border russia break agreement russia attack question asked typical medium narrative,2.0
europe must start talking russia relaxation europe canceling alliance american building european army dominated american russia european country may also part become say goodbye unwanted american interference make u go war dozen country control time break free liberator abusing trust right time start,0.0
one sided cherry picked information ignoring security nation famous word inch eastward stop hypocrisy,2.0
putin spit tea listening senile joe,2.0
think west hypocriticalrussia full right defend nato,1.0
well explained thank,2.0
love capitalist narrative yt push video limit remove opposing view channel like rt,1.0
importance realizing ukraine nothing provocation tool war russia sad true goal attack russia economically economic sanction restrain russia european territory thats u nato dont involve directly ukraine goal achieved,1.0
look moscow google map road lead direction easily tell capital great empire,1.0
didnt even bother mention eu u stage revolution overthrow ukraine government ultimately led russia attack safeguard security another typical channel omits detail present onesided argument,0.0
